Date,open,high,low,close,volume,return_1d,return_3d,rolling_volatility_5d,article_count,avg_sentiment,max_pos_sentiment,max_neg_sentiment,position,cash
2025-10-17,425.5,441.4599914550781,423.6000061035156,439.30999755859375,89331600,0.02462973191508744,0.02346008655605525,0.029151776180190582,0,,,,0,10000.0
2025-10-20,443.8699951171875,449.79998779296875,440.6099853515625,447.42999267578125,63719000,0.018483519979771268,0.028220151560471196,0.018992863628332232,0,,,,0,10000.0
2025-10-21,445.760009765625,449.29998779296875,442.04998779296875,442.6000061035156,54412200,-0.010794954856246153,0.03230322123268947,0.0178448048609652,0,,,,0,10000.0
2025-10-22,443.45001220703125,445.5400085449219,429.0,438.9700012207031,84023500,-0.008201547294971134,-0.0007739326211105846,0.018239149700887743,0,,,,0,10000.0
2025-10-23,420.0,449.3999938964844,413.8999938964844,448.9800109863281,126709800,0.022803402824313368,0.00346427002194738,0.017405140550995218,0,,,,0,10000.0
2025-10-24,446.8299865722656,451.67999267578125,430.1700134277344,433.7200012207031,94727800,-0.03398817183887881,-0.020063273294975148,0.023309120897074466,0,,,,0,10000.0
2025-10-27,439.9800109863281,460.1600036621094,438.69000244140625,452.4200134277344,105867500,0.043115401997602554,0.03063993477829685,0.030349905168867666,0,,,,0,10000.0
2025-10-28,454.7799987792969,467.0,451.6000061035156,460.54998779296875,80185700,0.017969970655449252,0.02576946973925076,0.0299021397985719,0,,,,0,10000.0
2025-10-29,462.5,465.70001220703125,452.6499938964844,461.510009765625,67983500,0.0020845119924046696,0.0640736153894379,0.028813640350121895,0,,,,0,10000.0
2025-10-30,451.04998779296875,455.05999755859375,439.6099853515625,440.1000061035156,72447900,-0.04639120107705208,-0.027231349097218138,0.03685888288470422,0,,,,0,10000.0
2025-10-31,446.75,458.0,443.69000244140625,456.55999755859375,83135800,0.03740057084027071,-0.008663533471134577,0.03588199701769904,0,,,,0,10000.0
2025-11-03,455.989990234375,474.07000732421875,453.79998779296875,468.3699951171875,84595200,0.02586735066967427,0.014864217907313293,0.03269001510638759,0,,,,0,10000.0
2025-11-04,454.4599914550781,460.2200012207031,443.6000061035156,444.260009765625,87756600,-0.05147636612701911,0.009452405372452732,0.04081292914989904,0,,,,0,10000.0
2025-11-05,452.04998779296875,466.3299865722656,440.7099914550781,462.07000732421875,85573000,0.040089130615176494,0.012068533807362058,0.04601900107944923,0,,,,0,10000.0
2025-11-06,461.9599914550781,467.45001220703125,435.0899963378906,445.9100036621094,109622900,-0.03497306340156037,-0.0479535232598719,0.043274758278602055,0,,,,0,10000.0
2025-11-07,437.9200134277344,439.3599853515625,421.8800048828125,429.5199890136719,103471500,-0.03675632866235745,-0.033178815171163833,0.041366415764972776,0,,,,0,10000.0
2025-11-10,439.6000061035156,449.6700134277344,433.3599853515625,445.2300109863281,76515900,0.03657576451501576,-0.036444686023679895,0.04397633933866736,0,,,,0,10000.0
2025-11-11,439.3999938964844,442.489990234375,432.3599853515625,439.6199951171875,60533200,-0.01260026442672324,-0.014106004559808372,0.037636700021535456,0,,,,0,10000.0
2025-11-12,442.1499938964844,442.3299865722656,426.55999755859375,430.6000061035156,58513500,-0.02051769508633805,0.0025144745703775673,0.029830646848376104,0,,,,0,10000.0
2025-11-13,423.1300048828125,424.5,396.3399963378906,401.989990234375,118948000,-0.06644220962287406,-0.09711838754122282,0.03772757998555298,0,,,,0,10000.0
2025-11-14,386.29998779296875,412.19000244140625,382.7799987792969,404.3500061035156,105506700,0.005870832424868633,-0.08022835495521563,0.037796067560889504,0,,,,0,10000.0
2025-11-17,398.739990234375,423.9599914550781,398.739990234375,408.9200134277344,102214300,0.011302107716671506,-0.05034833341495448,0.030817944881085017,0,,,,0,10000.0
2025-11-18,405.3800048828125,408.8999938964844,393.7099914550781,401.25,80688600,-0.018756757252943457,-0.0018408175635009627,0.030747215936172797,0,,,,0,10000.0
2025-11-19,406.17999267578125,411.7799987792969,398.5,403.989990234375,72047700,0.006828636098130891,-0.0008903570266014516,0.032504590526731734,0,,,,0,10000.0
2025-11-20,414.6300048828125,428.94000244140625,394.739990234375,395.2300109863281,113548800,-0.02168365419886953,-0.033478435859989,0.015626774496008744,0,,,,0,10000.0
2025-11-21,402.32000732421875,402.79998779296875,383.760009765625,391.0899963378906,100460600,-0.010474950113494086,-0.025320881400895612,0.014925842183381052,0,,,,0,10000.0
2025-11-24,402.1700134277344,421.7200012207031,401.0899963378906,417.7799987792969,96806400,0.0682451678419993,0.03413453025636004,0.03714508217479809,0,,,,0,10000.0
2025-11-25,414.4200134277344,420.4800109863281,405.95001220703125,419.3999938964844,71915600,0.0038776272725380423,0.06115421966524792,0.03486065442386319,0,,,,0,10000.0
2025-11-26,423.95001220703125,426.94000244140625,416.8900146484375,426.5799865722656,63463000,0.017119677587676296,0.09074635139404763,0.03497754322769028,0,,,,0,10000.0
2025-11-28,426.5899963378906,432.92999267578125,426.20001220703125,430.1700134277344,36252900,0.008415835173881447,0.029656792294125323,0.03010766337311468,0,,,,0,10000.0
2025-12-01,425.32000732421875,433.6600036621094,425.2900085449219,430.1400146484375,57463600,-6.973703038437584e-05,0.025608061297692775,0.027980562899712447,0,,,,0,10000.0
2025-12-02,430.80999755859375,436.79998779296875,422.1199951171875,429.239990234375,69336600,-0.0020923987153301793,0.006235650395799208,0.0076616771064973825,0,,,,0,10000.0
2025-12-03,432.1000061035156,447.9200134277344,431.1099853515625,446.739990234375,87483000,0.04076973347810542,0.03851959990099196,0.017375241589149326,0,,,,0,10000.0
2025-12-04,449.94000244140625,454.6300048828125,445.3900146484375,454.5299987792969,71906500,0.017437455153354264,0.05670243013962284,0.017395430934049255,0,,,,0,10000.0
2025-12-05,453.0299987792969,458.8699951171875,451.6600036621094,455.0,56427500,0.0010340378456106247,0.06001307043073845,0.018166478196535503,0,,,,0,10000.0
2025-12-08,447.45001220703125,449.75,435.25,439.5799865722656,69165800,-0.033890139401614006,-0.01602722795949607,0.0274409894526655,0,,,,0,10000.0
2025-12-09,437.5400085449219,452.3900146484375,435.70001220703125,445.1700134277344,62367400,0.01271674558948499,-0.020592667979451362,0.027330067849597753,0,,,,0,10000.0
2025-12-10,446.07000732421875,456.8800048828125,443.6099853515625,451.45001220703125,63257500,0.014106967203253218,-0.007802170973557732,0.021144636786553615,0,,,,0,10000.0
2025-12-11,448.95001220703125,449.2699890136719,440.3299865722656,446.8900146484375,55979500,-0.010100780674035192,0.0166295743652336,0.019750334579411354,0,,,,0,10000.0
2025-12-12,448.0899963378906,463.010009765625,441.6700134277344,458.9599914550781,95656700,0.027008830833098685,0.030976879869250906,0.024090428042572016,0,,,,0,10000.0
2025-12-15,469.44000244140625,481.7699890136719,467.6600036621094,475.30999755859375,114542200,0.035624033484225714,0.05285188770937621,0.017333696456203754,0,,,,0,10000.0
2025-12-16,472.2099914550781,491.5,465.8299865722656,489.8800048828125,107608100,0.030653694218629735,0.09619814456627473,0.018344306469179603,0,,,,0,10000.0
2025-12-17,488.2200012207031,495.2799987792969,466.20001220703125,467.260009765625,106490400,-0.04617456293730249,0.018084404882945604,0.03499409843295749,0,,,,0,10000.0
2025-12-18,478.1600036621094,490.8599853515625,473.1199951171875,483.3699951171875,95168400,0.034477560704677446,0.016957349098469576,0.035098500640861556,0,,,,0,10000.0
2025-12-19,488.1199951171875,490.489990234375,474.7200012207031,481.20001220703125,103305400,-0.00448927929345333,-0.017718609841725685,0.03552406303510535,0,,,,0,10000.0
2025-12-22,489.8800048828125,498.8299865722656,485.3299865722656,488.7300109863281,86916100,0.01564837611861325,0.045948723990894,0.03295479699689167,0,,,,0,10000.0
2025-12-23,489.3999938964844,491.9700012207031,482.8399963378906,485.55999755859375,58223600,-0.00648622625268469,0.004530695871752144,0.030074994614318028,0,,,,0,10000.0
2025-12-24,488.4800109863281,490.8999938964844,476.79998779296875,485.3999938964844,41285400,-0.00032952397832164415,0.008728141277864587,0.017280730917855806,0,,,,0,10000.0
2025-12-26,485.2300109863281,489.0899963378906,473.82000732421875,475.19000244140625,58780700,-0.021034181259704576,-0.027704475355618485,0.013171228204661427,0,,,,0,10000.0
2025-12-29,469.0,469.3999938964844,459.0,459.6400146484375,66263000,-0.03272372674735757,-0.053381627482664284,0.018686052760027962,0,,,,0,10000.0
2025-12-30,461.0899963378906,463.1199951171875,453.8299865722656,454.42999267578125,59238500,-0.011335005235871831,-0.06380305234883821,0.012745292834324176,0,,,,0,10000.0
2025-12-31,456.1000061035156,456.54998779296875,449.29998779296875,449.7200012207031,49078000,-0.010364613980130777,-0.05359961507995681,0.012253160819235314,0,,,,0,10000.0
